OldId,NewId,SynId
71839,1,
379082,2,
26083,3,
76583,4,
59418,5,
50593,6,
80913,7,
322413,8,
65552,9,
351549,10,26215
51307,11,
93024,12,
67032,13,
77036,14,
55434,15,
336097,16,
185167,17,76583
26215,18,
120655,19,51307
185164,20,26215
185166,21,76583
507786,22,
280246,23,
285633,24,280246
119116,25,
178741,26,
176700,27,
255628,28,
721,29,6342
177523,30,
722,31,
185972,32,80980
523363,33,722
80980,34,
279648,35,722
105540,36,722
156134,37,722
279647,38,722
279646,39,722
279645,40,722
523362,41,737
737,42,
523361,43,737
260682,44,
270260,45,152935
211541,46,112203
52621,47,
298623,48,
168703,49,152931
374843,50,42964
170218,51,
324876,52,
324878,53,
324880,54,
298625,55,
344837,56,
182428,57,112203
339126,58,
344131,59,
344132,60,
344133,61,
298626,62,
296016,63,
42964,64,
152930,65,
270259,66,
152931,67,
240228,68,
152932,69,
152933,70,
240229,71,
179188,72,
152935,73,
349272,74,
108938,75,
111252,76,
112203,77,
211065,78,226282
334247,79,333795
211313,80,
106042,81,89875
101270,82,
312575,83,
184518,84,
282043,85,
214929,86,184524
221465,87,312575
147978,88,
184488,89,
112436,90,
139328,91,
368000,92,
139329,93,
184524,94,
220727,95,
280724,96,
156521,97,
184517,98,184519
333793,99,184519
112442,100,
112444,101,
173876,102,
173881,103,
148633,104,
173889,105,
364778,106,
148672,107,
214927,108,
202885,109,
112430,110,
378145,111,
378146,112,
378147,113,
333091,114,
184525,115,
241693,116,
378156,117,
337141,118,
112439,119,
184519,120,
112443,121,
375089,122,
89875,123,
95918,124,520210
26468,125,520210
186131,126,78771
186134,127,78771
517979,128,
517341,129,
337684,130,
221474,131,
221494,132,
831,133,
840,134,831
186210,135,831
186211,136,831
186219,137,78771
292273,138,353623
353623,139,
349964,140,
312577,141,
349969,142,
112402,143,
165502,144,
350035,145,
194710,146,350035
217953,147,
165496,148,
349980,149,
112404,150,
521559,151,
165500,152,
858,153,
196810,154,
333795,155,
253448,156,333796
282512,157,
334256,158,
521083,159,521326
78771,160,
334226,161,
521169,162,
334249,163,
333796,164,
226282,165,
517750,166,
218227,167,
521171,168,
522791,169,
334255,170,
521326,171,
186242,172,78771
877,173,
186284,174,877
520210,175,
156182,176,52621
315296,177,111252
174270,178,
259188,179,
106044,180,200398
200398,181,
132153,182,
142631,183,
200395,184,
304718,185,
238930,186,
307774,187,
142632,188,142633
156196,189,
186569,190,132153
106045,191,
106046,192,
186571,193,142633
186572,194,142633
143018,195,132153
237172,196,
106047,197,304718
186574,198,132153
186576,199,132153
142633,200,
186578,201,142633
105497,202,
280976,203,
178819,204,
175314,205,
1104,206,
188276,207,161315
344766,208,
191524,209,190714
190714,210,
291463,211,292252
292252,212,
121188,213,2424
1313,214,303181
97932,215,303181
65620,216,
233129,217,
199173,218,106051
215499,219,106051
215394,220,
193659,221,
199176,222,106052
215451,223,176778
215486,224,176778
190175,225,176778
380437,226,
119443,227,140380
106051,228,
233228,229,
233230,230,
233507,231,
233162,232,
233178,233,
119435,234,
215308,235,
215311,236,
215312,237,
233137,238,
106052,239,
176778,240,
140380,241,
325179,242,
234893,243,
389167,244,
234891,245,
119498,246,
246796,247,
172570,248,
139302,249,
199444,250,
165507,251,
156042,252,
226748,253,52447
52447,254,
109542,255,
26895,256,
68576,257,
522279,258,360297
524919,259,
525088,260,
1575,261,
79002,262,
284003,263,1575
114041,264,
284001,265,1575
20903,266,55729
191382,267,526675
526674,268,526675
523088,269,
105555,270,
277906,271,105559
105559,272,
70045,273,
68713,274,
156883,275,11676
134180,276,
134179,277,134180
55729,278,
103867,279,
106060,280,
127412,281,106060
146647,282,177888
306453,283,75912
271941,284,
43477,285,
351282,286,513784
237490,287,
27734,288,
296992,289,
296996,290,
279711,291,
248691,292,
347654,293,348067
239115,294,
250148,295,292421
331044,296,
48754,297,
307183,298,302972
292698,299,
347912,300,348088
257075,301,
348088,302,
296970,303,
302972,304,
325490,305,
513784,306,
513783,307,513784
348067,308,
253805,309,292421
292421,310,
176780,311,
177888,312,
347903,313,348074
164608,314,
348074,315,
203596,316,513784
203584,317,75912
84584,318,257075
75912,319,
234423,320,
261229,321,
325535,322,
325968,323,325535
132707,324,
107279,325,
353488,326,
234900,327,
524962,328,
235494,329,246746
353443,330,
107280,331,
246739,332,
107289,333,
353444,334,
107281,335,
234899,336,
173270,337,
206888,338,165063
48143,339,
139288,340,
353445,341,
107282,342,
246746,343,
278378,344,
353446,345,
215525,346,
246740,347,
246734,348,
199201,349,
353507,350,353508
353505,351,353508
107283,352,
353485,353,139288
353508,354,
173254,355,
246743,356,
246744,357,
107286,358,
173154,359,
246737,360,
235495,361,278378
173278,362,
173256,363,
353450,364,
107288,365,
165061,366,
304019,367,
318422,368,
318423,369,
27854,370,
318425,371,
165063,372,
162815,373,
139362,374,162815
368796,375,
526442,376,526599
525811,377,525553
526599,378,
302867,379,298832
353962,380,
120895,381,
363872,382,528759
528759,383,
361804,384,
361805,385,
525578,386,
525464,387,
525553,388,
298832,389,
204032,390,122437
525046,391,
204413,392,
57302,393,
302176,394,303724
311031,395,
195919,396,
360304,397,
303724,398,
216092,399,
168876,400,82637
82637,401,
153697,402,
29468,403,
116447,404,
106063,405,184126
521773,406,
304021,407,234898
517369,408,
157228,409,157229
204846,410,119101
204849,411,106080
204850,412,122198
277684,413,
365945,414,
338818,415,
280714,416,
369969,417,
280725,418,369969
362085,419,369969
157186,420,119101
204853,421,139381
184326,422,
184327,423,
149640,424,
252648,425,
149657,426,
184325,427,
139382,428,
139381,429,
284344,430,
281858,431,284344
349892,432,
163552,433,134666
206889,434,134666
349894,435,
134666,436,
517450,437,
536988,438,
504028,439,
135076,440,
135092,441,
135059,442,
349901,443,134666
112390,444,
357746,445,
241841,446,
233039,447,
122060,448,
246926,449,
184541,450,
107456,451,
346331,452,
184533,453,
346336,454,
246929,455,
122188,456,
234898,457,
346339,458,
122189,459,
199777,460,
119488,461,
184538,462,
122069,463,
246931,464,
156545,465,
346342,466,
279943,467,
184536,468,
233040,469,
367395,470,
346345,471,
292866,472,
241676,473,
184547,474,
346346,475,
172377,476,
293284,477,
353463,478,
293269,479,
353470,480,
293279,481,
529291,482,
279579,483,
107311,484,
176830,485,
353475,486,
133333,487,
107315,488,
133404,489,293283
521743,490,
246018,491,
107320,492,
139296,493,
529300,494,
293283,495,
353511,496,
293280,497,
293289,498,
293290,499,
353512,500,
522181,501,
119152,502,
119154,503,
293273,504,
139297,505,
107329,506,
353516,507,
139298,508,
350490,509,
241812,510,
349853,511,
246749,512,
349863,513,
156345,514,
521608,515,
156346,516,
349856,517,
349855,518,
517345,519,
349848,520,
241814,521,
241594,522,
246759,523,
245445,524,
521918,525,
251818,526,
112393,527,
381568,528,
251820,529,
124565,530,
119155,531,
207346,532,
217885,533,
217909,534,
119135,535,
372727,536,
119158,537,
269246,538,
337366,539,
199437,540,
207339,541,
337396,542,
233030,543,
337996,544,
337384,545,
119138,546,
337997,547,
217900,548,
119140,549,
217899,550,
347164,551,
106080,552,
139301,553,
2392,554,
106081,555,
112514,556,
537002,557,
360192,558,139301
521734,559,
204856,560,2392
157217,561,122198
204857,562,106083
309061,563,
303551,564,
316083,565,
303562,566,
303557,567,
303564,568,316083
370088,569,
370086,570,
370105,571,
370102,572,
207958,573,
122199,574,
221572,575,
221573,576,
139387,577,
370050,578,
388128,579,
112513,580,
122198,581,
106083,582,
201459,583,
280713,584,
2424,585,
50646,586,524193
104013,587,24950
265695,588,24950
24950,589,
157291,590,
361108,591,361109
353413,592,351285
347335,593,347334
353414,594,351286
353412,595,351284
237825,596,
299909,597,
143903,598,153592
279712,599,
360305,600,347334
360306,601,351285
360308,602,361107
250464,603,366016
378552,604,
239355,605,177526
249757,606,
143904,607,153592
219409,608,
370885,609,
361109,610,
361107,611,
351284,612,
347334,613,
351285,614,
351286,615,
157318,616,
157319,617,
328038,618,157319
168217,619,
328037,620,157319
352907,621,
206166,622,
247182,623,
247181,624,
217040,625,
206160,626,
217041,627,
247191,628,
247186,629,
153592,630,
205115,631,
202703,632,
217043,633,
238351,634,
371881,635,
247208,636,
247200,637,
247201,638,
247187,639,
247203,640,
247206,641,
217048,642,
247205,643,
247204,644,
247202,645,
247198,646,
247209,647,
217050,648,
368799,649,
366016,650,
206158,651,
247185,652,
176611,653,
337331,654,
247213,655,
217053,656,
259254,657,
247210,658,
217054,659,
217055,660,
217059,661,
217061,662,
206165,663,
238352,664,
177526,665,
247212,666,
536941,667,
247197,668,
247207,669,
247199,670,
217064,671,
247196,672,
304032,673,
247195,674,
247214,675,
382658,676,
247215,677,
247194,678,
88722,679,
247193,680,
206167,681,
237420,682,337331
279267,683,253808
318516,684,297225
327345,685,325066
330507,686,338678
327343,687,325067
362334,688,362333
317783,689,315670
353304,690,352913
308663,691,306844
353303,692,352911
337952,693,334465
520014,694,520394
243511,695,241573
310421,696,310420
229738,697,226814
220979,698,227194
310444,699,310443
298996,700,362329
319764,701,362327
372706,702,362058
311518,703,281327
302488,704,281326
379317,705,362328
291493,706,298640
362344,707,362343
371108,708,363356
362348,709,362347
371105,710,361857
371107,711,362257
371106,712,362346
346089,713,344629
362338,714,315670
351241,715,
197920,716,197919
197918,717,197943
302939,718,310141
236362,719,197915
197940,720,197915
302941,721,302942
199680,722,199681
526085,723,525614
525691,724,525566
386136,725,362311
386137,726,362312
362314,727,362313
526409,728,525531
242712,729,242728
362302,730,362301
362300,731,362298
526331,732,362329
362329,733,
362327,734,
281327,735,
281326,736,
362328,737,
526374,738,362327
362058,739,
362062,740,
325067,741,
253808,742,
297225,743,
325066,744,
338678,745,
362333,746,
362301,747,
362298,748,
362475,749,362340
362473,750,362337
525614,751,
525566,752,
241573,753,
310420,754,
226814,755,
227194,756,
362318,757,
362317,758,
362319,759,
362265,760,
362268,761,
315670,762,
325073,763,
362264,764,
352911,765,
334463,766,
352913,767,
306844,768,
525917,769,
334465,770,
242728,771,
362311,772,
362312,773,
362313,774,
525531,775,
362296,776,
362295,777,
362294,778,
362293,779,
286006,780,242728
362273,781,
351288,782,353705
353705,783,
344629,784,
236375,785,197915
302940,786,310141
197915,787,
197943,788,
310141,789,
197919,790,
302942,791,
298640,792,
362257,793,
362343,794,
361857,795,
362346,796,
362342,797,
362347,798,
310443,799,
362262,800,
362261,801,
363356,802,
362341,803,
362340,804,
362337,805,
202027,806,197943
202025,807,197919
520394,808,
524793,809,
199681,810,
211942,811,199681
524792,812,525139
524808,813,525265
525139,814,
525265,815,
367815,816,
156433,817,
526675,818,
206616,819,
248450,820,
206619,821,
133111,822,44937
344138,823,55173
55173,824,
80135,825,44937
44937,826,
206519,827,157369
206520,828,157369
157369,829,
90822,830,
105534,831,
259166,832,346586
517190,833,
378119,834,
343227,835,346591
71018,836,
287907,837,
236719,838,
329575,839,
319071,840,
345569,841,
278248,842,
270426,843,275170
347316,844,
325164,845,
329595,846,
534038,847,383264
251801,848,
522830,849,251803
251803,850,
345570,851,
236718,852,
346581,853,
287914,854,
371583,855,
306727,856,
302125,857,
346582,858,361040
251806,859,
522813,860,
346583,861,
329584,862,
346584,863,218349
522817,864,
329591,865,
522805,866,
329585,867,
251809,868,
522818,869,
329228,870,
329608,871,
517159,872,
329609,873,
378969,874,
329599,875,
251804,876,
354045,877,
354046,878,
273493,879,
297297,880,
354058,881,309231
354059,882,246853
309231,883,
218349,884,
518121,885,
354103,886,
251808,887,
246868,888,
106088,889,
246853,890,
241699,891,
241702,892,
241703,893,
106090,894,
241704,895,
241705,896,309231
246863,897,309231
361040,898,
241706,899,
106092,900,
210490,901,
241707,902,
246859,903,
246864,904,
241710,905,
275170,906,
241701,907,
207112,908,
329598,909,
329592,910,
207116,911,
219165,912,
157404,913,
