71839,3
379082,1
379082,2
379082,3
379082,4
26083,3
76583,4
76583,1
76583,3
59418,1
59418,3
59418,4
50593,1
50593,3
50593,4
80913,4
80913,3
80913,1
322413,1
322413,3
322413,4
65552,1
65552,3
65552,4
351549,1
351549,3
351549,4
51307,1
51307,3
51307,4
93024,1
93024,3
93024,4
67032,1
67032,3
67032,4
77036,1
77036,3
77036,4
55434,3
55434,4
55434,1
336097,4
336097,3
336097,1
185167,4
185167,1
185167,3
26215,1
26215,3
26215,4
120655,1
120655,3
120655,4
185164,1
185164,3
185164,4
185166,4
185166,1
185166,3
507786,3
507786,4
280246,3
280246,4
285633,3
285633,4
119116,3
119116,4
178741,3
178741,4
176700,4
176700,3
255628,3
255628,4
721,1
721,3
721,4
721,2
177523,4
177523,3
722,3
722,1
722,4
185972,3
185972,4
185972,1
523363,3
523363,1
523363,4
80980,3
80980,4
80980,1
279648,3
279648,1
279648,4
105540,3
105540,1
105540,4
156134,3
156134,1
156134,4
279647,3
279647,1
279647,4
279646,3
279646,1
279646,4
279645,3
279645,1
279645,4
523362,1
523362,3
523362,4
737,1
737,3
737,4
523361,1
523361,3
523361,4
260682,1
260682,2
260682,4
270260,3
211541,3
52621,3
298623,3
168703,3
168703,4
374843,3
170218,3
324876,3
324876,4
324878,3
324878,4
324880,3
298625,3
344837,3
182428,3
339126,3
344131,3
344132,3
344133,3
298626,3
296016,3
42964,3
152930,3
270259,3
152931,3
152931,4
240228,3
240228,4
152932,3
152933,3
240229,3
179188,3
152935,3
349272,3
349272,4
108938,3
111252,3
112203,3
211065,3
211065,4
211065,1
334247,1
334247,3
334247,4
211313,3
211313,4
106042,3
106042,4
101270,1
101270,2
101270,3
101270,4
312575,3
312575,4
184518,3
184518,4
282043,3
282043,4
214929,3
214929,4
221465,3
221465,4
147978,3
147978,4
184488,3
184488,4
112436,3
112436,4
139328,3
139328,4
368000,3
368000,4
139329,3
139329,4
184524,3
184524,4
220727,3
220727,4
280724,3
280724,4
156521,3
156521,4
184517,3
184517,4
333793,3
333793,4
112442,3
112442,4
112444,3
112444,4
173876,3
173876,4
173881,3
173881,4
148633,3
148633,4
173889,3
173889,4
364778,3
364778,4
148672,3
148672,4
214927,3
214927,4
202885,3
202885,4
112430,3
112430,4
378145,1
378145,3
378145,4
378146,3
378146,4
378147,3
378147,4
333091,3
333091,4
184525,3
184525,4
241693,4
241693,3
378156,3
378156,4
337141,3
337141,4
112439,3
112439,4
184519,3
184519,4
112443,3
112443,4
375089,3
375089,4
89875,3
89875,4
95918,3
95918,4
26468,3
26468,4
186131,1
186131,3
186131,4
186134,1
186134,3
186134,4
517979,1
517979,3
517979,4
517341,1
517341,3
517341,4
337684,1
337684,3
337684,4
221474,1
221474,3
221474,4
221494,1
221494,3
221494,4
831,3
831,4
840,3
840,4
186210,3
186210,4
186211,3
186211,4
186219,1
186219,3
186219,4
292273,3
292273,4
353623,3
353623,4
349964,4
349964,3
312577,4
312577,3
349969,3
349969,4
349969,1
112402,4
112402,3
165502,3
165502,4
350035,3
350035,4
194710,3
194710,4
217953,1
217953,3
217953,4
165496,4
165496,3
349980,1
349980,3
349980,4
112404,4
112404,3
521559,3
521559,4
165500,3
165500,4
858,1
858,3
858,4
196810,3
196810,4
333795,1
333795,3
333795,4
253448,1
253448,3
253448,4
282512,1
282512,3
282512,4
334256,1
334256,3
334256,4
521083,1
521083,3
521083,4
78771,1
78771,3
78771,4
334226,1
334226,3
334226,4
521169,1
521169,3
521169,4
334249,1
334249,3
334249,4
333796,1
333796,3
333796,4
226282,3
226282,4
226282,1
517750,1
517750,3
517750,4
218227,4
218227,3
218227,1
521171,1
521171,3
521171,4
522791,1
522791,3
522791,4
334255,1
334255,3
334255,4
521326,1
521326,3
521326,4
186242,1
186242,3
186242,4
877,3
877,4
186284,3
186284,4
520210,3
520210,4
156182,3
315296,3
174270,3
174270,4
259188,3
259188,1
259188,4
106044,3
106044,4
200398,3
200398,4
132153,3
132153,4
132153,1
142631,3
142631,1
142631,4
200395,3
200395,4
304718,4
304718,3
304718,1
238930,4
238930,3
238930,1
307774,4
307774,3
307774,1
142632,4
142632,3
156196,3
156196,4
186569,3
186569,4
186569,1
106045,3
106045,4
106046,4
106046,3
186571,4
186571,3
186572,4
186572,3
143018,3
143018,4
143018,1
237172,3
237172,4
237172,1
106047,4
106047,3
106047,1
186574,3
186574,4
186574,1
186576,3
186576,4
186576,1
142633,4
142633,3
186578,4
186578,3
105497,3
105497,4
280976,3
280976,4
178819,3
178819,4
175314,1
175314,4
1104,3
1104,4
1104,1
188276,3
188276,4
344766,3
344766,4
344766,1
191524,3
191524,4
191524,1
190714,3
190714,4
190714,1
291463,3
291463,4
291463,1
292252,3
292252,4
292252,1
121188,1
121188,2
121188,3
121188,4
1313,3
97932,3
65620,3
65620,4
233129,3
233129,4
199173,4
199173,3
215499,4
215499,3
215394,3
215394,4
193659,4
193659,3
199176,3
199176,4
215451,3
215451,4
215486,3
215486,4
190175,3
190175,4
380437,3
380437,4
119443,3
119443,4
106051,4
106051,3
233228,4
233228,3
233230,4
233230,3
233507,3
233507,4
233162,3
233162,4
233178,4
233178,3
119435,3
119435,4
215308,4
215308,3
215311,3
215311,4
215312,3
215312,4
233137,4
233137,3
106052,3
106052,4
176778,3
176778,4
140380,3
140380,4
325179,3
325179,4
234893,1
234893,3
234893,4
389167,3
389167,4
234891,1
234891,3
234891,4
119498,3
119498,4
246796,3
246796,4
172570,3
172570,4
139302,3
139302,4
199444,3
199444,4
165507,4
165507,3
156042,3
156042,4
226748,4
226748,3
52447,4
52447,3
109542,3
109542,4
26895,3
26895,4
68576,3
522279,3
522279,4
524919,1
524919,2
524919,3
524919,4
525088,1
525088,2
525088,3
525088,4
1575,1
1575,2
1575,3
1575,4
79002,1
79002,2
79002,3
79002,4
284003,1
284003,2
284003,3
284003,4
114041,1
114041,2
114041,3
114041,4
284001,1
284001,2
284001,3
284001,4
20903,1
20903,2
20903,3
20903,4
191382,4
191382,3
191382,1
526674,4
526674,3
526674,1
523088,1
523088,3
523088,4
105555,3
105555,4
277906,3
277906,4
105559,3
105559,4
70045,3
70045,4
68713,3
68713,4
156883,3
156883,4
156883,1
134180,3
134180,4
134180,1
134179,3
134179,4
134179,1
55729,1
55729,2
55729,3
55729,4
103867,3
103867,4
103867,1
106060,3
106060,4
106060,1
127412,3
127412,4
127412,1
146647,1
146647,2
146647,3
146647,4
306453,1
306453,3
306453,4
271941,1
271941,2
271941,4
43477,1
43477,2
43477,4
351282,1
351282,2
351282,4
237490,1
237490,3
237490,4
27734,4
27734,2
27734,1
296992,1
296992,2
296992,3
296992,4
296996,1
296996,2
296996,3
296996,4
279711,1
279711,2
279711,4
248691,1
248691,2
248691,3
248691,4
347654,1
347654,2
347654,3
347654,4
239115,1
239115,2
239115,4
250148,3
250148,2
250148,1
250148,4
331044,1
331044,2
331044,4
48754,1
48754,2
48754,4
307183,3
307183,1
307183,2
307183,4
292698,1
292698,2
292698,4
347912,1
347912,2
347912,4
257075,1
257075,4
257075,2
348088,1
348088,2
348088,4
296970,3
296970,1
296970,2
296970,4
302972,3
302972,1
302972,2
302972,4
325490,3
325490,2
325490,4
325490,1
513784,1
513784,2
513784,4
513783,1
513783,2
513783,4
348067,1
348067,2
348067,3
348067,4
253805,3
253805,2
253805,1
253805,4
292421,3
292421,2
292421,1
292421,4
176780,1
176780,2
176780,4
177888,1
177888,2
177888,3
177888,4
347903,3
347903,2
347903,1
347903,4
164608,4
164608,3
164608,2
164608,1
348074,3
348074,2
348074,1
348074,4
203596,1
203596,2
203596,4
203584,1
203584,3
203584,4
84584,1
84584,4
84584,2
75912,1
75912,3
75912,4
234423,1
234423,3
234423,4
261229,1
261229,3
261229,4
325535,2
325535,1
325968,2
325968,1
132707,1
132707,2
132707,3
132707,4
107279,3
107279,4
353488,3
353488,4
234900,1
234900,2
234900,3
234900,4
524962,1
524962,2
524962,3
524962,4
235494,3
235494,4
353443,3
353443,4
107280,3
107280,4
246739,3
246739,4
