1,Foliage
2,Foliage, Fruit
3,Foliage, Stem
4,Flower, Foliage
5,Flower
6,Fruit
7,Flower, Foliage, Fruit
8,Flower, Fruit
9,Bark, Flower, Foliage
10,Bark, Flower
11,Flower, Foliage, Stem
12,Bark, Foliage, Fruit
13,Flower, Stem
14,Bark
15,Bark, Foliage
